"poziom_studiow;forma_studiow;kod_przedmiotu;Subject;rodzaj_zajec;numer_grupy;prowadzacy;Start Date;Start Time;End Time;budynek;nr_sali
"I Stopnia";"Stacjonarne";"240-INF-1S-328";"Sieci komputerowe";"wykład";"1";"prof. dr hab. inż. Krzysztof Zieliński";"2025-11-24";"8:00";"9:30";"D17";"on-line"
"I Stopnia";"Stacjonarne";"240-INF-1S-377";"Technika mikroprocesorowa";"wykład";"1";"dr inż. Ada Brzoza-Zajęcka";"2025-11-24";"9:45";"11:15";"D17";"on-line"
"I Stopnia";"Stacjonarne";"240-INF-1S-397";"Teoria kompilacji";"ćwiczenia audytoryjne";"4";"dr inż. Janusz Majewski";"2025-11-24";"18:30";"20:00";"D17";"3.27c"
"I Stopnia";"Stacjonarne";"240-INF-1S-402";"Teoria współbieżności";"ćwiczenia laboratoryjne";"3";"dr inż. Katarzyna Rycerz";"2025-11-25";"8:00";"9:30";"D17";"4.31"
"I Stopnia";"Stacjonarne";"240-INF-1S-020";"Architektura Danych i Zarządzanie Informacją";"wykład";"1";"mgr inż. Jacek Nawrot";"2025-11-25";"18:30";"20:00";"D17";"on-line"
"I Stopnia";"Stacjonarne";"240-INF-1S-397";"Teoria kompilacji";"ćwiczenia laboratoryjne";"1";"dr inż. Marcin Kuta";"2025-11-26";"8:00";"9:30";"D17";"3.22"
"I Stopnia";"Stacjonarne";"240-INF-1S-397";"Teoria kompilacji";"wykład";"1";"dr inż. Marcin Kuta";"2025-11-26";"18:30";"20:00";"D17";"on-line"
"I Stopnia";"Stacjonarne";"240-INF-1S-377";"Technika mikroprocesorowa";"ćwiczenia laboratoryjne";"5";"mgr inż. Katarzyna Heryan";"2025-11-27";"8:00";"9:30";"D17";"3.24"
"I Stopnia";"Stacjonarne";"240-INF-1S-328";"Sieci komputerowe";"ćwiczenia laboratoryjne";"9";"dr inż. Sławomir Zieliński";"2025-11-27";"9:45";"11:15";"D17";"4.23"
"I Stopnia";"Stacjonarne";"240-INF-1S-398";"Teoria obliczeń i złożoności obliczeniowej";"wykład";"1";"prof. dr hab. inż. Piotr Faliszewski";"2025-11-27";"16:45";"18:15";"D17";"on-line"
